id,status,added_files,total_changes,deleted_files,modified_files,build_correction_intervals,total_builds,success_builds,failed_builds,ci_latency,ci_result,closure_time,comment_time,reviews_number,first_response_time,total_jobs,success_jobs,failed_jobs,mention_number,review_time,participants_number,source_code_added_lines,source_code_removed_lines,test_code_added_lines,test_code_removed_lines,total_comments,general_comments,review_comments,effective_comments
4045,merged,0,6,0,6,0.0,6,0,6,516479.05,1,0.0,0.0,8,0.0,13,0,7,0,517237.773,3,176,246,0,0,0,0,0,0
4591,merged,0,12,0,12,0.0,6,6,0,172138.386,0,0.0,0.0,6,0.0,18,18,0,0,173180.169,1,294,239,0,0,0,0,0,0
4285,merged,0,7,0,7,519332.129,7,4,3,1146.607,1,0.0,0.0,9,0.0,15,12,2,0,604984.092,2,278,275,0,0,0,0,0,0
5329,merged,1,3,0,2,0.0,6,0,6,13404.778,1,0.0,0.0,14,0.0,24,15,3,0,77303.484,1,344,237,0,0,0,0,0,0
4592,merged,1,9,0,8,1279.728,16,13,3,1383827.56,1,0.0,0.0,17,0.0,48,48,0,0,1383916.596,2,230,112,0,0,0,0,0,0
4068,merged,1,7,0,6,0.0,6,0,6,-3147.615,1,0.0,0.0,13,0.0,12,0,6,0,77200.488,3,430,170,0,0,0,0,0,0
4836,merged,1,21,0,20,0.0,11,11,0,48955.1,0,0.0,0.0,11,0.0,38,38,0,0,8070.999,1,645,192,0,0,0,0,0,0
4618,merged,1,16,0,15,1809578.351,13,4,9,-253.021,1,0.0,0.0,14,0.0,39,39,0,0,4456.554,1,279,167,0,0,0,0,0,0
4606,merged,0,11,0,11,271.105,2,1,1,9587.61,1,0.0,0.0,2,0.0,6,6,0,0,86951.112,1,104,176,0,0,0,0,0,0
4236,merged,2,9,0,7,508621.945,7,1,6,508500.235,1,0.0,0.0,20,0.0,21,21,0,0,509994.029,2,234,176,0,0,0,0,0,0
4815,merged,0,7,0,7,189771.041,7,4,3,627926.563,1,0.0,0.0,13,0.0,21,21,0,0,628465.754,1,465,175,0,0,0,0,0,0
4345,merged,1,5,0,4,951102.683,11,6,5,-78597.924,1,0.0,0.0,12,0.0,33,30,1,0,143.126,1,255,112,0,0,0,0,0,0
4645,merged,0,6,0,6,3876.581,3,2,1,530252.253,1,0.0,0.0,3,0.0,12,6,4,0,605632.016,1,122,105,0,0,0,0,0,0
5303,merged,0,8,0,8,0.0,12,0,12,1153529.673,1,0.0,0.0,3,0.0,48,48,0,0,14.706,1,30,52,0,0,0,0,0,0
4461,merged,1,20,0,19,1181778.806,8,1,7,1206925.334,1,0.0,0.0,11,0.0,24,24,0,0,1209712.113,2,293,141,0,0,0,0,0,0
4326,merged,0,9,0,9,0.0,10,10,0,518405.355,0,0.0,0.0,10,0.0,30,30,0,0,518793.938,2,139,140,0,0,0,0,0,0
4374,merged,0,5,0,5,76801.106,3,1,2,231.399,1,0.0,0.0,3,0.0,9,9,0,0,573.461,2,96,85,0,0,0,0,0,0
4674,merged,0,7,0,7,504707.079,3,1,2,597567.025,1,0.0,0.0,2,0.0,9,9,0,0,597974.656,2,92,99,0,0,0,0,0,0
5395,merged,2,15,0,13,516690.514,8,3,5,1221375.447,1,0.0,0.0,14,0.0,32,32,0,0,1284792.22,2,269,98,0,0,0,0,0,0
4846,merged,0,7,0,7,0.0,7,7,0,126314.965,0,0.0,0.0,3,0.0,28,28,0,0,14.797,1,40,29,0,0,0,0,0,0
4589,merged,0,2,0,2,242.983,2,1,1,11649.923,1,0.0,0.0,3,0.0,6,6,0,0,12070.615,2,98,92,0,0,0,0,0,0
4323,merged,1,7,0,6,421088.835,9,6,3,511462.214,1,0.0,0.0,10,0.0,27,27,0,0,511681.233,2,112,92,0,0,0,0,0,0
4695,merged,1,10,0,9,513896.021,3,2,1,527791.172,1,0.0,0.0,3,0.0,9,9,0,0,529826.27,3,189,116,0,0,0,0,0,0
5144,merged,0,5,0,5,0.0,11,0,11,-1406.0,1,0.0,0.0,12,0.0,78,65,9,0,12.469,1,385,154,0,0,0,0,0,0
5280,merged,0,8,0,8,0.0,20,0,20,47003.292,1,0.0,0.0,7,0.0,81,76,3,0,356.509,1,215,77,0,0,0,0,0,0
4237,merged,0,2,0,2,1032414.808,12,5,7,6747.29,1,0.0,0.0,13,0.0,36,33,1,0,9020.671,2,145,82,0,0,0,0,0,0
5368,merged,0,14,0,14,0.0,13,0,13,1236424.22,1,0.0,0.0,5,0.0,52,52,0,0,32.043,1,64,70,0,0,0,0,0,0
4568,merged,0,4,0,4,176.453,7,6,1,85557.388,1,0.0,0.0,7,0.0,21,21,0,0,158759.115,1,62,65,0,0,0,0,0,0
5066,merged,2,16,0,14,0.0,8,0,8,-1020.354,1,0.0,0.0,9,0.0,32,16,8,0,518508.716,2,277,67,0,0,0,0,0,0
4508,merged,0,7,0,7,305.359,3,2,1,1206765.329,1,0.0,0.0,3,0.0,9,9,0,0,1209295.791,1,38,70,0,0,0,0,0,0
4713,merged,0,4,0,4,1600.016,2,1,1,521011.926,1,0.0,0.0,2,0.0,6,6,0,0,521760.481,2,56,64,0,0,0,0,0,0
4183,merged,2,12,0,10,0.0,5,0,5,-64.214,1,0.0,0.0,5,0.0,11,0,5,0,96.901,2,111,69,0,0,0,0,0,0
4501,merged,0,4,0,4,0.0,7,7,0,5377.404,0,0.0,0.0,7,0.0,21,21,0,0,6844.457,2,45,61,0,0,0,0,0,0
